ppt_index,stimulus_identity,rating,stim_age,age,height,upper_arm_circumference,upper_arm_circumference_sc,age_sc,stim_age_sc,height_sc
71,m(7).jpg,1,19,36,182,41.5,2.1342425369017817,0.09030956361754996,-1.6973653472048253,0.27241831763486407
71,m(1).jpg,1,20,36,182,41.5,2.1342425369017817,0.09030956361754996,-1.4362196852824396,0.27241831763486407
71,m(10).jpg,0,27,36,182,41.5,2.1342425369017817,0.09030956361754996,0.3917999481742592,0.27241831763486407
71,m(9).jpg,1,30,36,182,41.5,2.1342425369017817,0.09030956361754996,1.175236933941416,0.27241831763486407
71,m(18).jpg,0,25,36,182,41.5,2.1342425369017817,0.09030956361754996,-0.1304913756705119,0.27241831763486407
71,m(19).jpg,0,23,36,182,41.5,2.1342425369017817,0.09030956361754996,-0.652782699515283,0.27241831763486407
71,m(15).jpg,1,24,36,182,41.5,2.1342425369017817,0.09030956361754996,-0.3916370375928975,0.27241831763486407
71,m(6).jpg,0,26,36,182,41.5,2.1342425369017817,0.09030956361754996,0.13065428625187367,0.27241831763486407
71,m(14).jpg,1,32,36,182,41.5,2.1342425369017817,0.09030956361754996,1.697528257786187,0.27241831763486407
71,m(8).jpg,1,22,36,182,41.5,2.1342425369017817,0.09030956361754996,-0.9139283614376685,0.27241831763486407
72,m(13).jpg,1,23,65,190,33,-0.07922543733100258,2.007305309685611,-0.652782699515283,1.409622909219994
72,m(14).jpg,0,32,65,190,33,-0.07922543733100258,2.007305309685611,1.697528257786187,1.409622909219994
72,m(10).jpg,0,27,65,190,33,-0.07922543733100258,2.007305309685611,0.3917999481742592,1.409622909219994
72,m(7).jpg,1,19,65,190,33,-0.07922543733100258,2.007305309685611,-1.6973653472048253,1.409622909219994
72,m(2).jpg,1,20,65,190,33,-0.07922543733100258,2.007305309685611,-1.4362196852824396,1.409622909219994
72,m(18).jpg,1,25,65,190,33,-0.07922543733100258,2.007305309685611,-0.1304913756705119,1.409622909219994
72,m(3).jpg,1,30,65,190,33,-0.07922543733100258,2.007305309685611,1.175236933941416,1.409622909219994
72,m(11).jpg,1,25,65,190,33,-0.07922543733100258,2.007305309685611,-0.1304913756705119,1.409622909219994
72,m(20).jpg,0,27,65,190,33,-0.07922543733100258,2.007305309685611,0.3917999481742592,1.409622909219994
72,m(9).jpg,0,30,65,190,33,-0.07922543733100258,2.007305309685611,1.175236933941416,1.409622909219994
72,m(17).jpg,1,33,65,190,33,-0.07922543733100258,2.007305309685611,1.9586739197085725,1.409622909219994
72,m(8).jpg,0,22,65,190,33,-0.07922543733100258,2.007305309685611,-0.9139283614376685,1.409622909219994
72,m(5).jpg,0,26,65,190,33,-0.07922543733100258,2.007305309685611,0.13065428625187367,1.409622909219994
72,m(16).jpg,0,23,65,190,33,-0.07922543733100258,2.007305309685611,-0.652782699515283,1.409622909219994
72,m(12).jpg,1,26,65,190,33,-0.07922543733100258,2.007305309685611,0.13065428625187367,1.409622909219994
72,m(15).jpg,1,24,65,190,33,-0.07922543733100258,2.007305309685611,-0.3916370375928975,1.409622909219994
72,m(6).jpg,0,26,65,190,33,-0.07922543733100258,2.007305309685611,0.13065428625187367,1.409622909219994
72,m(1).jpg,0,20,65,190,33,-0.07922543733100258,2.007305309685611,-1.4362196852824396,1.409622909219994
72,m(4).jpg,1,29,65,190,33,-0.07922543733100258,2.007305309685611,0.9140912720190304,1.409622909219994
72,m(19).jpg,0,23,65,190,33,-0.07922543733100258,2.007305309685611,-0.652782699515283,1.409622909219994
73,m(2).jpg,1,20,20,169,30.75,-0.665143430510269,-0.9673432617993113,-1.4362196852824396,-1.5755391436909716
73,m(18).jpg,1,25,20,169,30.75,-0.665143430510269,-0.9673432617993113,-0.1304913756705119,-1.5755391436909716
73,m(6).jpg,1,26,20,169,30.75,-0.665143430510269,-0.9673432617993113,0.13065428625187367,-1.5755391436909716
73,m(16).jpg,1,23,20,169,30.75,-0.665143430510269,-0.9673432617993113,-0.652782699515283,-1.5755391436909716
73,m(1).jpg,1,20,20,169,30.75,-0.665143430510269,-0.9673432617993113,-1.4362196852824396,-1.5755391436909716
73,m(14).jpg,1,32,20,169,30.75,-0.665143430510269,-0.9673432617993113,1.697528257786187,-1.5755391436909716
73,m(7).jpg,1,19,20,169,30.75,-0.665143430510269,-0.9673432617993113,-1.6973653472048253,-1.5755391436909716
73,m(3).jpg,1,30,20,169,30.75,-0.665143430510269,-0.9673432617993113,1.175236933941416,-1.5755391436909716
73,m(15).jpg,1,24,20,169,30.75,-0.665143430510269,-0.9673432617993113,-0.3916370375928975,-1.5755391436909716
73,m(17).jpg,1,33,20,169,30.75,-0.665143430510269,-0.9673432617993113,1.9586739197085725,-1.5755391436909716
73,m(13).jpg,1,23,20,169,30.75,-0.665143430510269,-0.9673432617993113,-0.652782699515283,-1.5755391436909716
73,m(9).jpg,0,30,20,169,30.75,-0.665143430510269,-0.9673432617993113,1.175236933941416,-1.5755391436909716
73,m(11).jpg,1,25,20,169,30.75,-0.665143430510269,-0.9673432617993113,-0.1304913756705119,-1.5755391436909716
73,m(5).jpg,1,26,20,169,30.75,-0.665143430510269,-0.9673432617993113,0.13065428625187367,-1.5755391436909716
73,m(12).jpg,1,26,20,169,30.75,-0.665143430510269,-0.9673432617993113,0.13065428625187367,-1.5755391436909716
73,m(20).jpg,1,27,20,169,30.75,-0.665143430510269,-0.9673432617993113,0.3917999481742592,-1.5755391436909716
73,m(8).jpg,1,22,20,169,30.75,-0.665143430510269,-0.9673432617993113,-0.9139283614376685,-1.5755391436909716
73,m(10).jpg,1,27,20,169,30.75,-0.665143430510269,-0.9673432617993113,0.3917999481742592,-1.5755391436909716
73,m(19).jpg,1,23,20,169,30.75,-0.665143430510269,-0.9673432617993113,-0.652782699515283,-1.5755391436909716
73,m(4).jpg,1,29,20,169,30.75,-0.665143430510269,-0.9673432617993113,0.9140912720190304,-1.5755391436909716
74,m(14).jpg,1,32,30,181.5,37.5,1.0926105490275302,-0.306310245913773,1.697528257786187,0.20134303066079348
74,m(15).jpg,1,24,30,181.5,37.5,1.0926105490275302,-0.306310245913773,-0.3916370375928975,0.20134303066079348
74,m(18).jpg,0,25,30,181.5,37.5,1.0926105490275302,-0.306310245913773,-0.1304913756705119,0.20134303066079348
